""
"Indicator name: Intentional homicide  Data Source: UNODC(http://www.unodc.org/), Crime and criminal justice database(https://www.unodc.org/unodc/en/data-and-analysis/statistics/historic-data.html)"
"Description: Number of victims in total population express per 100,000 population. Intentional homicide is unlawful death purposefully inflicted on a person by another person. Data on intentional homicide should exclude attempted homicides."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Intentional homicide (Per 100,000 population)","Albania","2010","4.31"
"Robbery (Per 100,000 population)","Albania","2010","0.00"
"Intentional homicide (Per 100,000 population)","Albania","2011","4.85"
"Robbery (Per 100,000 population)","Albania","2011","0.00"
"Intentional homicide (Per 100,000 population)","Albania","2012","5.39"
"Robbery (Per 100,000 population)","Albania","2012","0.00"
"Intentional homicide (Per 100,000 population)","Albania","2013","4.27"
"Robbery (Per 100,000 population)","Albania","2013","0.00"
"Intentional homicide (Per 100,000 population)","Albania","2014","4.04"
"Robbery (Per 100,000 population)","Albania","2014","0.00"
"Intentional homicide (Per 100,000 population)","Albania","2015","2.21"
"Robbery (Per 100,000 population)","Albania","2015","0.00"
"Intentional homicide (Per 100,000 population)","Albania","2016","2.74"
"Robbery (Per 100,000 population)","Albania","2016","0.00"
"Intentional homicide (Per 100,000 population)","Albania","2017","2.01"
"Robbery (Per 100,000 population)","Albania","2017","0.00"
"Intentional homicide (Per 100,000 population)","Albania","2018","2.29"
"Intentional homicide (Per 100,000 population)","Algeria","2003","2.01"
"Intentional homicide (Per 100,000 population)","Algeria","2004","1.37"
"Intentional homicide (Per 100,000 population)","Algeria","2005","0.62"
"Robbery (Per 100,000 population)","Algeria","2005","0.25"
"Intentional homicide (Per 100,000 population)","Algeria","2006","0.93"
"Robbery (Per 100,000 population)","Algeria","2006","0.21"
"Intentional homicide (Per 100,000 population)","Algeria","2007","0.79"
"Robbery (Per 100,000 population)","Algeria","2007","0.21"
"Intentional homicide (Per 100,000 population)","Algeria","2008","0.94"
"Robbery (Per 100,000 population)","Algeria","2008","0.20"
"Intentional homicide (Per 100,000 population)","Algeria","2009","0.78"
"Robbery (Per 100,000 population)","Algeria","2009","0.19"
"Intentional homicide (Per 100,000 population)","Algeria","2010","0.71"
"Robbery (Per 100,000 population)","Algeria","2010","0.18"
"Intentional homicide (Per 100,000 population)","Algeria","2011","0.76"
"Robbery (Per 100,000 population)","Algeria","2011","0.19"
"Intentional homicide (Per 100,000 population)","Algeria","2012","1.40"
"Robbery (Per 100,000 population)","Algeria","2012","0.11"
"Intentional homicide (Per 100,000 population)","Algeria","2013","1.26"
"Robbery (Per 100,000 population)","Algeria","2013","0.18"
"Intentional homicide (Per 100,000 population)","Algeria","2014","1.48"
"Robbery (Per 100,000 population)","Algeria","2014","0.21"
"Intentional homicide (Per 100,000 population)","Algeria","2015","1.36"
"Robbery (Per 100,000 population)","Algeria","2015","0.26"
"Intentional homicide (Per 100,000 population)","Andorra","2004","1.31"
"Robbery (Per 100,000 population)","Andorra","2007","0.00"
"Intentional homicide (Per 100,000 population)","Andorra","2008","1.19"
"Robbery (Per 100,000 population)","Andorra","2008","0.00"
"Robbery (Per 100,000 population)","Andorra","2009","0.00"
"Robbery (Per 100,000 population)","Andorra","2010","0.00"
"Intentional homicide (Per 100,000 population)","Andorra","2011","1.19"
"Robbery (Per 100,000 population)","Andorra","2011","0.00"
"Robbery (Per 100,000 population)","Andorra","2012","0.00"
"Robbery (Per 100,000 population)","Andorra","2013","0.00"
"Robbery (Per 100,000 population)","Andorra","2014","0.00"
"Robbery (Per 100,000 population)","Andorra","2015","0.00"
"Intentional homicide (Per 100,000 population)","Angola","2011","4.36"
"Intentional homicide (Per 100,000 population)","Angola","2012","4.85"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","1990","1.60"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","1991","4.73"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","1992","3.10"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","1993","6.08"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","1994","7.44"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","1995","10.19"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","1996","4.27"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","1997","1.39"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","2000","6.58"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","2001","9.07"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","2002","6.39"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","2003","6.30"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","2004","4.98"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","2005","3.68"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","2006","13.30"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","2007","20.23"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","2008","18.74"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","2009","18.45"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","2010","6.82"
"Intentional homicide (Per 100,000 population)","Antigua and Barbuda","2012","11.06"
"Intentional homicide (Per 100,000 population)","Argentina","2001","8.39"
"Intentional homicide (Per 100,000 population)","Argentina","2002","9.47"
"Intentional homicide (Per 100,000 population)","Argentina","2003","7.79"
"Intentional homicide (Per 100,000 population)","Argentina","2004","6.07"
"Intentional homicide (Per 100,000 population)","Argentina","2005","5.65"
"Robbery (Per 100,000 population)","Argentina","2005","3.55"
"Intentional homicide (Per 100,000 population)","Argentina","2006","5.37"
"Robbery (Per 100,000 population)","Argentina","2006","3.54"
"Intentional homicide (Per 100,000 population)","Argentina","2007","5.39"
"Robbery (Per 100,000 population)","Argentina","2007","3.39"
"Intentional homicide (Per 100,000 population)","Argentina","2008","5.92"
"Robbery (Per 100,000 population)","Argentina","2008","3.87"
"Intentional homicide (Per 100,000 population)","Argentina","2009","6.53"
"Intentional homicide (Per 100,000 population)","Argentina","2010","5.83"
"Intentional homicide (Per 100,000 population)","Argentina","2011","6.08"
"Intentional homicide (Per 100,000 population)","Argentina","2012","6.34"
"Intentional homicide (Per 100,000 population)","Argentina","2013","7.28"
"Intentional homicide (Per 100,000 population)","Argentina","2014","7.57"
"Robbery (Per 100,000 population)","Argentina","2014","4.84"
"Intentional homicide (Per 100,000 population)","Argentina","2015","6.59"
"Robbery (Per 100,000 population)","Argentina","2015","4.43"
"Intentional homicide (Per 100,000 population)","Argentina","2016","6.03"
"Robbery (Per 100,000 population)","Argentina","2016","4.37"
"Intentional homicide (Per 100,000 population)","Argentina","2017","5.21"
"Robbery (Per 100,000 population)","Argentina","2017","4.05"
"Intentional homicide (Per 100,000 population)","Argentina","2018","5.32"
"Intentional homicide (Per 100,000 population)","Armenia","1990","5.03"
"Intentional homicide (Per 100,000 population)","Armenia","1991","5.31"
"Intentional homicide (Per 100,000 population)","Armenia","1992","8.86"
"Intentional homicide (Per 100,000 population)","Armenia","1993","7.97"
"Intentional homicide (Per 100,000 population)","Armenia","1994","4.78"
"Intentional homicide (Per 100,000 population)","Armenia","1995","3.61"
"Intentional homicide (Per 100,000 population)","Armenia","1996","3.60"
"Intentional homicide (Per 100,000 population)","Armenia","1997","3.19"
"Intentional homicide (Per 100,000 population)","Armenia","1998","2.99"
"Intentional homicide (Per 100,000 population)","Armenia","1999","2.91"
"Intentional homicide (Per 100,000 population)","Armenia","2000","2.96"
"Intentional homicide (Per 100,000 population)","Armenia","2001","2.88"
"Intentional homicide (Per 100,000 population)","Armenia","2002","2.27"
"Intentional homicide (Per 100,000 population)","Armenia","2003","2.52"
"Robbery (Per 100,000 population)","Armenia","2003","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2004","2.77"
"Robbery (Per 100,000 population)","Armenia","2004","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2005","1.95"
"Robbery (Per 100,000 population)","Armenia","2005","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2006","2.67"
"Robbery (Per 100,000 population)","Armenia","2006","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2007","2.63"
"Robbery (Per 100,000 population)","Armenia","2007","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2008","3.34"
"Robbery (Per 100,000 population)","Armenia","2008","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2009","3.36"
"Robbery (Per 100,000 population)","Armenia","2009","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2010","1.95"
"Robbery (Per 100,000 population)","Armenia","2010","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2011","2.47"
"Robbery (Per 100,000 population)","Armenia","2011","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2012","2.25"
"Robbery (Per 100,000 population)","Armenia","2012","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2013","2.17"
"Robbery (Per 100,000 population)","Armenia","2013","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2014","2.47"
"Robbery (Per 100,000 population)","Armenia","2014","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2015","2.56"
"Robbery (Per 100,000 population)","Armenia","2015","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2016","2.96"
"Robbery (Per 100,000 population)","Armenia","2016","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2017","2.38"
"Robbery (Per 100,000 population)","Armenia","2017","0.00"
"Intentional homicide (Per 100,000 population)","Armenia","2018","1.69"
"Intentional homicide (Per 100,000 population)","Australia","1990","2.21"
"Intentional homicide (Per 100,000 population)","Australia","1991","1.98"
"Intentional homicide (Per 100,000 population)","Australia","1992","1.73"
"Intentional homicide (Per 100,000 population)","Australia","1993","1.89"
"Intentional homicide (Per 100,000 population)","Australia","1994","1.80"
"Intentional homicide (Per 100,000 population)","Australia","1995","1.98"
"Intentional homicide (Per 100,000 population)","Australia","1996","1.95"
"Intentional homicide (Per 100,000 population)","Australia","1997","1.98"
"Intentional homicide (Per 100,000 population)","Australia","1998","1.80"
"Intentional homicide (Per 100,000 population)","Australia","1999","2.05"
"Intentional homicide (Per 100,000 population)","Australia","2000","1.91"
"Intentional homicide (Per 100,000 population)","Australia","2001","1.81"
"Intentional homicide (Per 100,000 population)","Australia","2002","1.89"
"Intentional homicide (Per 100,000 population)","Australia","2003","1.54"
"Intentional homicide (Per 100,000 population)","Australia","2004","1.32"
"Intentional homicide (Per 100,000 population)","Australia","2005","1.28"
"Intentional homicide (Per 100,000 population)","Australia","2006","1.37"
"Intentional homicide (Per 100,000 population)","Australia","2007","1.22"
"Intentional homicide (Per 100,000 population)","Australia","2008","1.22"
"Intentional homicide (Per 100,000 population)","Australia","2009","1.21"
"Intentional homicide (Per 100,000 population)","Australia","2010","1.04"
"Robbery (Per 100,000 population)","Australia","2010","0.15"
"Intentional homicide (Per 100,000 population)","Australia","2011","1.10"
"Robbery (Per 100,000 population)","Australia","2011","0.14"
"Intentional homicide (Per 100,000 population)","Australia","2012","1.06"
"Robbery (Per 100,000 population)","Australia","2012","0.13"
"Intentional homicide (Per 100,000 population)","Australia","2013","1.05"
"Robbery (Per 100,000 population)","Australia","2013","0.12"
"Intentional homicide (Per 100,000 population)","Australia","2014","1.03"
"Robbery (Per 100,000 population)","Australia","2014","0.10"
"Intentional homicide (Per 100,000 population)","Australia","2015","0.99"
"Robbery (Per 100,000 population)","Australia","2015","0.09"
"Intentional homicide (Per 100,000 population)","Australia","2016","0.94"
"Robbery (Per 100,000 population)","Australia","2016","0.09"
"Intentional homicide (Per 100,000 population)","Australia","2017","0.83"
"Robbery (Per 100,000 population)","Australia","2017","0.10"
"Intentional homicide (Per 100,000 population)","Australia","2018","0.89"
"Intentional homicide (Per 100,000 population)","Austria","1990","1.15"
"Intentional homicide (Per 100,000 population)","Austria","1991","1.33"
"Intentional homicide (Per 100,000 population)","Austria","1992","1.24"
"Intentional homicide (Per 100,000 population)","Austria","1993","1.01"
"Intentional homicide (Per 100,000 population)","Austria","1994","1.11"
"Intentional homicide (Per 100,000 population)","Austria","1995","0.98"
"Intentional homicide (Per 100,000 population)","Austria","1996","1.23"
"Intentional homicide (Per 100,000 population)","Austria","1997","0.82"
"Intentional homicide (Per 100,000 population)","Austria","1998","0.96"
"Intentional homicide (Per 100,000 population)","Austria","1999","0.75"
"Intentional homicide (Per 100,000 population)","Austria","2000","1.02"
"Intentional homicide (Per 100,000 population)","Austria","2001","0.86"
"Intentional homicide (Per 100,000 population)","Austria","2002","0.80"
"Intentional homicide (Per 100,000 population)","Austria","2003","0.61"
"Intentional homicide (Per 100,000 population)","Austria","2004","0.72"
"Robbery (Per 100,000 population)","Austria","2004","0.05"
"Intentional homicide (Per 100,000 population)","Austria","2005","0.65"
"Robbery (Per 100,000 population)","Austria","2005","0.05"
"Intentional homicide (Per 100,000 population)","Austria","2006","0.74"
"Robbery (Per 100,000 population)","Austria","2006","0.05"
"Intentional homicide (Per 100,000 population)","Austria","2007","0.54"
"Robbery (Per 100,000 population)","Austria","2007","0.05"
"Intentional homicide (Per 100,000 population)","Austria","2008","0.70"
"Robbery (Per 100,000 population)","Austria","2008","0.05"
"Intentional homicide (Per 100,000 population)","Austria","2009","0.61"
"Robbery (Per 100,000 population)","Austria","2009","0.05"
"Intentional homicide (Per 100,000 population)","Austria","2010","0.69"
"Robbery (Per 100,000 population)","Austria","2010","0.04"
"Intentional homicide (Per 100,000 population)","Austria","2011","0.89"
"Robbery (Per 100,000 population)","Austria","2011","0.04"
"Intentional homicide (Per 100,000 population)","Austria","2012","0.93"
"Robbery (Per 100,000 population)","Austria","2012","0.04"
"Intentional homicide (Per 100,000 population)","Austria","2013","0.72"
"Robbery (Per 100,000 population)","Austria","2013","0.04"
"Intentional homicide (Per 100,000 population)","Austria","2014","0.52"
"Robbery (Per 100,000 population)","Austria","2014","0.03"
"Intentional homicide (Per 100,000 population)","Austria","2015","0.53"
"Robbery (Per 100,000 population)","Austria","2015","0.03"
"Intentional homicide (Per 100,000 population)","Austria","2016","0.65"
"Robbery (Per 100,000 population)","Austria","2016","0.03"
"Intentional homicide (Per 100,000 population)","Austria","2017","0.79"
"Intentional homicide (Per 100,000 population)","Austria","2018","0.97"
"Intentional homicide (Per 100,000 population)","Azerbaijan","1990","4.54"
"Intentional homicide (Per 100,000 population)","Azerbaijan","1991","4.85"
"Intentional homicide (Per 100,000 population)","Azerbaijan","1992","7.55"
"Intentional homicide (Per 100,000 population)","Azerbaijan","1993","6.30"
"Intentional homicide (Per 100,000 population)","Azerbaijan","1994","6.49"
"Intentional homicide (Per 100,000 population)","Azerbaijan","1995","5.70"
"Intentional homicide (Per 100,000 population)","Azerbaijan","1996","5.09"
"Intentional homicide (Per 100,000 population)","Azerbaijan","1997","3.58"
"Intentional homicide (Per 100,000 population)","Azerbaijan","1998","3.50"
"Intentional homicide (Per 100,000 population)","Azerbaijan","1999","3.00"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2000","2.78"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2001","2.66"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2002","2.56"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2003","2.19"
"Robbery (Per 100,000 population)","Azerbaijan","2003","0.00"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2004","2.38"
"Robbery (Per 100,000 population)","Azerbaijan","2004","0.00"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2005","2.25"
"Robbery (Per 100,000 population)","Azerbaijan","2005","0.00"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2006","2.20"
"Robbery (Per 100,000 population)","Azerbaijan","2006","0.00"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2007","2.17"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2008","2.18"
"Robbery (Per 100,000 population)","Azerbaijan","2009","0.00"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2010","2.28"
"Robbery (Per 100,000 population)","Azerbaijan","2010","0.00"
"Robbery (Per 100,000 population)","Azerbaijan","2011","0.00"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2012","2.18"
"Robbery (Per 100,000 population)","Azerbaijan","2012","0.00"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2013","2.35"
"Robbery (Per 100,000 population)","Azerbaijan","2013","0.00"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2014","2.48"
"Robbery (Per 100,000 population)","Azerbaijan","2014","0.00"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2015","2.34"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2016","2.14"
"Robbery (Per 100,000 population)","Azerbaijan","2016","0.00"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2017","2.04"
"Robbery (Per 100,000 population)","Azerbaijan","2017","0.00"
"Intentional homicide (Per 100,000 population)","Azerbaijan","2018","2.20"
"Intentional homicide (Per 100,000 population)","Bahamas","1990","17.56"
"Intentional homicide (Per 100,000 population)","Bahamas","1991","10.73"
"Intentional homicide (Per 100,000 population)","Bahamas","1992","15.41"
"Intentional homicide (Per 100,000 population)","Bahamas","1993","12.91"
"Intentional homicide (Per 100,000 population)","Bahamas","1994","18.85"
"Intentional homicide (Per 100,000 population)","Bahamas","1995","14.28"
"Intentional homicide (Per 100,000 population)","Bahamas","1996","17.96"
"Intentional homicide (Per 100,000 population)","Bahamas","1997","16.01"
"Intentional homicide (Per 100,000 population)","Bahamas","2000","24.83"
"Intentional homicide (Per 100,000 population)","Bahamas","2001","14.21"
"Intentional homicide (Per 100,000 population)","Bahamas","2002","16.90"
"Intentional homicide (Per 100,000 population)","Bahamas","2003","15.97"
"Intentional homicide (Per 100,000 population)","Bahamas","2004","13.80"
"Intentional homicide (Per 100,000 population)","Bahamas","2005","16.01"
"Intentional homicide (Per 100,000 population)","Bahamas","2006","18.43"
"Intentional homicide (Per 100,000 population)","Bahamas","2007","23.12"
"Intentional homicide (Per 100,000 population)","Bahamas","2008","21.24"
"Intentional homicide (Per 100,000 population)","Bahamas","2009","24.89"
"Robbery (Per 100,000 population)","Bahamas","2009","0.00"
"Intentional homicide (Per 100,000 population)","Bahamas","2010","26.48"
"Robbery (Per 100,000 population)","Bahamas","2010","0.00"
"Intentional homicide (Per 100,000 population)","Bahamas","2011","35.32"
"Robbery (Per 100,000 population)","Bahamas","2011","0.00"
"Intentional homicide (Per 100,000 population)","Bahamas","2012","30.53"
"Robbery (Per 100,000 population)","Bahamas","2012","0.00"
"Intentional homicide (Per 100,000 population)","Bahamas","2013","32.41"
"Intentional homicide (Per 100,000 population)","Bahamas","2014","33.46"
"Robbery (Per 100,000 population)","Bahamas","2014","0.01"
"Intentional homicide (Per 100,000 population)","Bahamas","2015","39.02"
"Robbery (Per 100,000 population)","Bahamas","2015","0.01"
"Intentional homicide (Per 100,000 population)","Bahamas","2016","29.37"
"Robbery (Per 100,000 population)","Bahamas","2016","0.01"
"Intentional homicide (Per 100,000 population)","Bahamas","2017","31.96"
"Robbery (Per 100,000 population)","Bahamas","2017","0.01"
"Intentional homicide (Per 100,000 population)","Bahrain","1995","0.89"
"Intentional homicide (Per 100,000 population)","Bahrain","1996","1.38"
"Intentional homicide (Per 100,000 population)","Bahrain","1997","1.01"
"Intentional homicide (Per 100,000 population)","Bahrain","2001","1.29"
"Intentional homicide (Per 100,000 population)","Bahrain","2002","1.09"
"Intentional homicide (Per 100,000 population)","Bahrain","2003","0.39"
"Robbery (Per 100,000 population)","Bahrain","2003","0.00"
"Intentional homicide (Per 100,000 population)","Bahrain","2004","0.84"
"Robbery (Per 100,000 population)","Bahrain","2004","0.00"
"Intentional homicide (Per 100,000 population)","Bahrain","2005","0.45"
"Robbery (Per 100,000 population)","Bahrain","2005","0.00"
"Intentional homicide (Per 100,000 population)","Bahrain","2006","0.73"
"Robbery (Per 100,000 population)","Bahrain","2006","0.00"
"Intentional homicide (Per 100,000 population)","Bahrain","2007","0.39"
"Robbery (Per 100,000 population)","Bahrain","2007","0.00"
"Intentional homicide (Per 100,000 population)","Bahrain","2008","0.54"
"Robbery (Per 100,000 population)","Bahrain","2008","0.00"
"Intentional homicide (Per 100,000 population)","Bahrain","2009","1.10"
"Intentional homicide (Per 100,000 population)","Bahrain","2010","0.89"
"Intentional homicide (Per 100,000 population)","Bahrain","2011","0.55"
"Intentional homicide (Per 100,000 population)","Bahrain","2012","0.31"
"Intentional homicide (Per 100,000 population)","Bahrain","2013","0.38"
"Intentional homicide (Per 100,000 population)","Bahrain","2014","0.52"
"Intentional homicide (Per 100,000 population)","Bangladesh","2000","2.62"
"Intentional homicide (Per 100,000 population)","Bangladesh","2001","2.83"
"Intentional homicide (Per 100,000 population)","Bangladesh","2002","2.64"
"Intentional homicide (Per 100,000 population)","Bangladesh","2003","2.58"
"Intentional homicide (Per 100,000 population)","Bangladesh","2004","2.85"
"Intentional homicide (Per 100,000 population)","Bangladesh","2005","2.58"
"Robbery (Per 100,000 population)","Bangladesh","2005","0.01"
"Intentional homicide (Per 100,000 population)","Bangladesh","2006","2.96"
"Robbery (Per 100,000 population)","Bangladesh","2006","0.01"
"Intentional homicide (Per 100,000 population)","Bangladesh","2007","2.71"
"Intentional homicide (Per 100,000 population)","Bangladesh","2008","2.84"
"Intentional homicide (Per 100,000 population)","Bangladesh","2009","2.89"
"Intentional homicide (Per 100,000 population)","Bangladesh","2010","2.70"
"Intentional homicide (Per 100,000 population)","Bangladesh","2011","2.66"
"Intentional homicide (Per 100,000 population)","Bangladesh","2012","2.72"
"Intentional homicide (Per 100,000 population)","Bangladesh","2013","2.88"
"Intentional homicide (Per 100,000 population)","Bangladesh","2014","2.92"
"Intentional homicide (Per 100,000 population)","Bangladesh","2015","2.58"
"Intentional homicide (Per 100,000 population)","Bangladesh","2016","2.27"
"Intentional homicide (Per 100,000 population)","Bangladesh","2017","2.22"
"Intentional homicide (Per 100,000 population)","Bangladesh","2018","2.37"
"Intentional homicide (Per 100,000 population)","Barbados","1990","13.03"
"Intentional homicide (Per 100,000 population)","Barbados","1991","8.02"
"Intentional homicide (Per 100,000 population)","Barbados","1992","8.37"
"Intentional homicide (Per 100,000 population)","Barbados","1993","7.96"
"Intentional homicide (Per 100,000 population)","Barbados","1994","7.55"
"Intentional homicide (Per 100,000 population)","Barbados","1995","6.39"
"Intentional homicide (Per 100,000 population)","Barbados","1998","7.43"
"Intentional homicide (Per 100,000 population)","Barbados","1999","8.50"
"Intentional homicide (Per 100,000 population)","Barbados","2000","7.37"
"Intentional homicide (Per 100,000 population)","Barbados","2001","9.17"
"Intentional homicide (Per 100,000 population)","Barbados","2002","9.14"
"Intentional homicide (Per 100,000 population)","Barbados","2003","12.03"
"Intentional homicide (Per 100,000 population)","Barbados","2004","7.99"
"Robbery (Per 100,000 population)","Barbados","2004","0.00"
"Intentional homicide (Per 100,000 population)","Barbados","2005","10.50"
"Robbery (Per 100,000 population)","Barbados","2005","0.00"
"Intentional homicide (Per 100,000 population)","Barbados","2006","12.61"
"Robbery (Per 100,000 population)","Barbados","2006","0.00"
"Intentional homicide (Per 100,000 population)","Barbados","2007","8.97"
"Robbery (Per 100,000 population)","Barbados","2007","0.00"
"Intentional homicide (Per 100,000 population)","Barbados","2008","8.22"
"Robbery (Per 100,000 population)","Barbados","2008","0.00"
"Intentional homicide (Per 100,000 population)","Barbados","2009","6.76"
"Robbery (Per 100,000 population)","Barbados","2009","0.00"
"Intentional homicide (Per 100,000 population)","Barbados","2010","10.99"
"Robbery (Per 100,000 population)","Barbados","2010","0.00"
"Intentional homicide (Per 100,000 population)","Barbados","2011","9.54"
"Robbery (Per 100,000 population)","Barbados","2011","0.00"
"Intentional homicide (Per 100,000 population)","Barbados","2012","7.75"
"Robbery (Per 100,000 population)","Barbados","2012","0.01"
"Intentional homicide (Per 100,000 population)","Barbados","2013","8.44"
"Robbery (Per 100,000 population)","Barbados","2013","0.00"
"Intentional homicide (Per 100,000 population)","Barbados","2014","8.78"
"Robbery (Per 100,000 population)","Barbados","2014","0.00"
"Intentional homicide (Per 100,000 population)","Barbados","2015","10.86"
"Robbery (Per 100,000 population)","Barbados","2015","0.00"
"Intentional homicide (Per 100,000 population)","Barbados","2016","7.70"
"Robbery (Per 100,000 population)","Barbados","2016","0.00"
"Intentional homicide (Per 100,000 population)","Barbados","2017","10.48"
"Intentional homicide (Per 100,000 population)","Barbados","2018","9.77"
"Intentional homicide (Per 100,000 population)","Belarus","1990","5.00"
"Intentional homicide (Per 100,000 population)","Belarus","1991","4.58"
"Intentional homicide (Per 100,000 population)","Belarus","1992","5.85"
"Intentional homicide (Per 100,000 population)","Belarus","1993","7.46"
"Intentional homicide (Per 100,000 population)","Belarus","1994","8.20"
"Intentional homicide (Per 100,000 population)","Belarus","1995","9.53"
"Intentional homicide (Per 100,000 population)","Belarus","1996","9.66"
"Intentional homicide (Per 100,000 population)","Belarus","1997","10.20"
"Intentional homicide (Per 100,000 population)","Belarus","1998","10.39"
"Intentional homicide (Per 100,000 population)","Belarus","1999","9.81"
"Intentional homicide (Per 100,000 population)","Belarus","2000","10.26"
"Intentional homicide (Per 100,000 population)","Belarus","2001","9.88"
"Intentional homicide (Per 100,000 population)","Belarus","2002","10.15"
"Intentional homicide (Per 100,000 population)","Belarus","2003","9.08"
"Robbery (Per 100,000 population)","Belarus","2003","0.10"
"Intentional homicide (Per 100,000 population)","Belarus","2004","8.47"
"Robbery (Per 100,000 population)","Belarus","2004","0.11"
