"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2013",53.233154,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2014",53.951103,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2015",54.097969,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2016",53.144444,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2017",52.568035,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2018",52.586048,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2019",51.790359,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2020",51.452774,
"AUT","EDUADULT","UPPSRY","PC_25_64","A","2021",51.335136,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2010",29.500488,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2011",28.733294,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2012",28.356371,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2013",27.241648,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2014",26.44935,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2015",25.322903,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2016",24.905834,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2017",23.202787,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2018",21.773218,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2019",21.313864,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2020",20.218918,
"BEL","EDUADULT","BUPPSRY","PC_25_64","A","2021",18.473303,
"BEL","EDUADULT","TRY","PC_25_64","A","2010",34.989502,
"BEL","EDUADULT","TRY","PC_25_64","A","2011",34.612984,
"BEL","EDUADULT","TRY","PC_25_64","A","2012",35.316551,
"BEL","EDUADULT","TRY","PC_25_64","A","2013",35.535332,
"BEL","EDUADULT","TRY","PC_25_64","A","2014",36.855022,
"BEL","EDUADULT","TRY","PC_25_64","A","2015",36.857422,
"BEL","EDUADULT","TRY","PC_25_64","A","2016",37.503956,
"BEL","EDUADULT","TRY","PC_25_64","A","2017",40.257053,
"BEL","EDUADULT","TRY","PC_25_64","A","2018",40.638546,
"BEL","EDUADULT","TRY","PC_25_64","A","2019",40.67009,
"BEL","EDUADULT","TRY","PC_25_64","A","2020",42.442284,
"BEL","EDUADULT","TRY","PC_25_64","A","2021",44.873066,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2010",35.51001,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2011",36.653725,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2012",36.32708,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2013",37.223022,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2014",36.695625,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2015",37.819675,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2016",37.59021,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2017",36.540157,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2018",37.588238,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2019",38.016045,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2020",37.338799,
"BEL","EDUADULT","UPPSRY","PC_25_64","A","2021",36.653629,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2010",11.736887,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2011",11.368477,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2012",11.035321,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2013",10.45779,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2014",10.011459,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2015",9.5978909,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2016",9.3911886,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2017",8.8729382,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2018",8.3779144,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2019",8.1420355,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2020",7.5580816,
"CAN","EDUADULT","BUPPSRY","PC_25_64","A","2021",6.9325643,
"CAN","EDUADULT","TRY","PC_25_64","A","2010",50.311695,
"CAN","EDUADULT","TRY","PC_25_64","A","2011",51.033012,
"CAN","EDUADULT","TRY","PC_25_64","A","2012",52.305416,
"CAN","EDUADULT","TRY","PC_25_64","A","2013",52.971439,
"CAN","EDUADULT","TRY","PC_25_64","A","2014",53.61496,
"CAN","EDUADULT","TRY","PC_25_64","A","2015",55.17366,
"CAN","EDUADULT","TRY","PC_25_64","A","2016",56.265068,
"CAN","EDUADULT","TRY","PC_25_64","A","2017",56.71452,
"CAN","EDUADULT","TRY","PC_25_64","A","2018",57.888363,
"CAN","EDUADULT","TRY","PC_25_64","A","2019",59.374844,
"CAN","EDUADULT","TRY","PC_25_64","A","2020",59.961113,
"CAN","EDUADULT","TRY","PC_25_64","A","2021",61.985279,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2010",37.95142,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2011",37.598511,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2012",36.659264,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2013",36.57077,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2014",36.373581,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2015",35.228447,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2016",34.343746,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2017",34.412544,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2018",33.733723,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2019",32.48312,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2020",32.480804,
"CAN","EDUADULT","UPPSRY","PC_25_64","A","2021",31.082157,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2010",8.0573692,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2011",7.6677351,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2012",7.5491762,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2013",7.1797996,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2014",6.8099089,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2015",6.841207,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2016",6.5732007,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2017",6.2063141,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2018",6.1394086,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2019",6.2475748,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2020",5.9468889,
"CZE","EDUADULT","BUPPSRY","PC_25_64","A","2021",5.5797949,
"CZE","EDUADULT","TRY","PC_25_64","A","2010",16.764982,
"CZE","EDUADULT","TRY","PC_25_64","A","2011",18.243177,
"CZE","EDUADULT","TRY","PC_25_64","A","2012",19.277992,
"CZE","EDUADULT","TRY","PC_25_64","A","2013",20.45986,
"CZE","EDUADULT","TRY","PC_25_64","A","2014",21.51013,
"CZE","EDUADULT","TRY","PC_25_64","A","2015",22.186741,
"CZE","EDUADULT","TRY","PC_25_64","A","2016",22.971544,
"CZE","EDUADULT","TRY","PC_25_64","A","2017",23.927534,
"CZE","EDUADULT","TRY","PC_25_64","A","2018",24.262077,
"CZE","EDUADULT","TRY","PC_25_64","A","2019",24.212393,
"CZE","EDUADULT","TRY","PC_25_64","A","2020",24.853664,
"CZE","EDUADULT","TRY","PC_25_64","A","2021",26.537458,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2010",75.17765,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2011",74.089088,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2012",73.172829,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2013",72.360344,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2014",71.679962,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2015",70.972054,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2016",70.455254,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2017",69.86615,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2018",69.598511,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2019",69.540031,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2020",69.199448,
"CZE","EDUADULT","UPPSRY","PC_25_64","A","2021",67.882744,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2010",23.289925,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2011",22.021439,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2012",21.165937,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2013",20.812916,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2014",21.054119,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2015",20.280628,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2016",19.726067,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2017",19.052462,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2018",18.940752,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2019",18.410515,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2020",18.64369,
"DNK","EDUADULT","BUPPSRY","PC_25_64","A","2021",17.887573,
"DNK","EDUADULT","TRY","PC_25_64","A","2010",33.002644,
"DNK","EDUADULT","TRY","PC_25_64","A","2011",33.662952,
"DNK","EDUADULT","TRY","PC_25_64","A","2012",34.639698,
"DNK","EDUADULT","TRY","PC_25_64","A","2013",35.204632,
"DNK","EDUADULT","TRY","PC_25_64","A","2014",35.667145,
"DNK","EDUADULT","TRY","PC_25_64","A","2015",36.565422,
"DNK","EDUADULT","TRY","PC_25_64","A","2016",37.766045,
"DNK","EDUADULT","TRY","PC_25_64","A","2017",38.889214,
"DNK","EDUADULT","TRY","PC_25_64","A","2018",39.44791,
"DNK","EDUADULT","TRY","PC_25_64","A","2019",40.353836,
"DNK","EDUADULT","TRY","PC_25_64","A","2020",39.326214,
"DNK","EDUADULT","TRY","PC_25_64","A","2021",41.881645,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2010",43.707432,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2011",44.315609,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2012",44.194366,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2013",43.982452,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2014",43.278736,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2015",43.15395,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2016",42.507889,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2017",42.058323,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2018",41.61134,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2019",41.235649,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2020",42.030094,
"DNK","EDUADULT","UPPSRY","PC_25_64","A","2021",40.230782,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2010",17.01717,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2011",16.27569,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2012",15.202716,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2013",14.109433,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2014",13.493114,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2015",12.847135,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2016",12.091855,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2017",11.896179,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2018",10.926194,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2019",9.7360916,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2020",8.7888527,
"FIN","EDUADULT","BUPPSRY","PC_25_64","A","2021",11.083303,
"FIN","EDUADULT","TRY","PC_25_64","A","2010",38.146343,
"FIN","EDUADULT","TRY","PC_25_64","A","2011",39.318207,
"FIN","EDUADULT","TRY","PC_25_64","A","2012",39.661289,
"FIN","EDUADULT","TRY","PC_25_64","A","2013",40.545231,
"FIN","EDUADULT","TRY","PC_25_64","A","2014",41.776676,
"FIN","EDUADULT","TRY","PC_25_64","A","2015",42.742619,
"FIN","EDUADULT","TRY","PC_25_64","A","2016",43.595264,
"FIN","EDUADULT","TRY","PC_25_64","A","2017",44.304253,
"FIN","EDUADULT","TRY","PC_25_64","A","2018",45.188133,
"FIN","EDUADULT","TRY","PC_25_64","A","2019",45.93438,
"FIN","EDUADULT","TRY","PC_25_64","A","2020",47.874241,
"FIN","EDUADULT","TRY","PC_25_64","A","2021",42.33107,
"FIN","EDUADULT","UPPSRY","PC_25_64","A","2010",44.836487,
"FIN","EDUADULT","UPPSRY","PC_25_64","A","2011",44.406101,
"FIN","EDUADULT","UPPSRY","PC_25_64","A","2012",45.135994,
"FIN","EDUADULT","UPPSRY","PC_25_64","A","2013",45.345337,
"FIN","EDUADULT","UPPSRY","PC_25_64","A","2014",44.730209,
"FIN","EDUADULT","UPPSRY","PC_25_64","A","2015",44.410244,
"FIN","EDUADULT","UPPSRY","PC_25_64","A","2016",44.312881,
"FIN","EDUADULT","UPPSRY","PC_25_64","A","2017",43.799568,
"FIN","EDUADULT","UPPSRY","PC_25_64","A","2018",43.885674,
"FIN","EDUADULT","UPPSRY","PC_25_64","A","2019",44.329529,
"FIN","EDUADULT","UPPSRY","PC_25_64","A","2020",43.336906,
"FIN","EDUADULT","UPPSRY","PC_25_64","A","2021",46.585629,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2010",29.233322,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2011",28.385553,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2012",27.465466,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2013",25.153784,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2014",22.681496,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2015",22.467602,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2016",21.89171,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2017",21.615114,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2018",20.640024,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2019",19.56168,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2020",18.510624,
"FRA","EDUADULT","BUPPSRY","PC_25_64","A","2021",17.760235,
"FRA","EDUADULT","TRY","PC_25_64","A","2010",29.006897,
"FRA","EDUADULT","TRY","PC_25_64","A","2011",29.767,
"FRA","EDUADULT","TRY","PC_25_64","A","2012",30.856123,
"FRA","EDUADULT","TRY","PC_25_64","A","2013",32.105263,
"FRA","EDUADULT","TRY","PC_25_64","A","2014",33.539047,
"FRA","EDUADULT","TRY","PC_25_64","A","2015",34.085361,
"FRA","EDUADULT","TRY","PC_25_64","A","2016",34.582485,
"FRA","EDUADULT","TRY","PC_25_64","A","2017",35.213791,
"FRA","EDUADULT","TRY","PC_25_64","A","2018",36.897491,
"FRA","EDUADULT","TRY","PC_25_64","A","2019",37.904724,
"FRA","EDUADULT","TRY","PC_25_64","A","2020",39.717316,
"FRA","EDUADULT","TRY","PC_25_64","A","2021",40.703068,
"FRA","EDUADULT","UPPSRY","PC_25_64","A","2010",41.759781,
"FRA","EDUADULT","UPPSRY","PC_25_64","A","2011",41.847446,
"FRA","EDUADULT","UPPSRY","PC_25_64","A","2012",41.67841,
"FRA","EDUADULT","UPPSRY","PC_25_64","A","2013",42.740952,
"FRA","EDUADULT","UPPSRY","PC_25_64","A","2014",43.779457,
"FRA","EDUADULT","UPPSRY","PC_25_64","A","2015",43.447037,
"FRA","EDUADULT","UPPSRY","PC_25_64","A","2016",43.525806,
"FRA","EDUADULT","UPPSRY","PC_25_64","A","2017",43.171093,
"FRA","EDUADULT","UPPSRY","PC_25_64","A","2018",42.462482,
"FRA","EDUADULT","UPPSRY","PC_25_64","A","2019",42.533596,
"FRA","EDUADULT","UPPSRY","PC_25_64","A","2020",41.77206,
"FRA","EDUADULT","UPPSRY","PC_25_64","A","2021",41.536697,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2010",14.189683,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2011",13.74963,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2012",13.699094,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2013",13.679199,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2014",13.096583,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2015",13.208749,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2016",13.523512,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2017",13.478389,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2018",13.324821,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2019",13.27747,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2020",13.894735,
"DEU","EDUADULT","BUPPSRY","PC_25_64","A","2021",14.672102,
"DEU","EDUADULT","TRY","PC_25_64","A","2010",26.609148,
"DEU","EDUADULT","TRY","PC_25_64","A","2011",27.562323,
"DEU","EDUADULT","TRY","PC_25_64","A","2012",28.121572,
"DEU","EDUADULT","TRY","PC_25_64","A","2013",28.47327,
"DEU","EDUADULT","TRY","PC_25_64","A","2014",27.057884,
"DEU","EDUADULT","TRY","PC_25_64","A","2015",27.638235,
"DEU","EDUADULT","TRY","PC_25_64","A","2016",28.291723,
"DEU","EDUADULT","TRY","PC_25_64","A","2017",28.58337,
"DEU","EDUADULT","TRY","PC_25_64","A","2018",29.065134,
"DEU","EDUADULT","TRY","PC_25_64","A","2019",29.900126,
"DEU","EDUADULT","TRY","PC_25_64","A","2020",31.255043,
"DEU","EDUADULT","TRY","PC_25_64","A","2021",31.143503,
"DEU","EDUADULT","UPPSRY","PC_25_64","A","2010",59.201168,
"DEU","EDUADULT","UPPSRY","PC_25_64","A","2011",58.688049,
"DEU","EDUADULT","UPPSRY","PC_25_64","A","2012",58.179337,
"DEU","EDUADULT","UPPSRY","PC_25_64","A","2013",57.84753,
"DEU","EDUADULT","UPPSRY","PC_25_64","A","2014",59.845531,
"DEU","EDUADULT","UPPSRY","PC_25_64","A","2015",59.153015,
"DEU","EDUADULT","UPPSRY","PC_25_64","A","2016",58.184765,
"DEU","EDUADULT","UPPSRY","PC_25_64","A","2017",57.93824,
"DEU","EDUADULT","UPPSRY","PC_25_64","A","2018",57.610046,
"DEU","EDUADULT","UPPSRY","PC_25_64","A","2019",56.822407,
"DEU","EDUADULT","UPPSRY","PC_25_64","A","2020",54.85022,
"DEU","EDUADULT","UPPSRY","PC_25_64","A","2021",54.184395,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2010",37.26366,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2011",35.445217,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2012",34.217484,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2013",32.80518,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2014",31.733679,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2015",29.780088,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2016",28.349747,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2017",27.290607,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2018",26.630527,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2019",26.043503,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2020",23.603962,
"GRC","EDUADULT","BUPPSRY","PC_25_64","A","2021",21.812767,
"GRC","EDUADULT","TRY","PC_25_64","A","2010",24.744848,
"GRC","EDUADULT","TRY","PC_25_64","A","2011",26.112072,
"GRC","EDUADULT","TRY","PC_25_64","A","2012",26.719267,
"GRC","EDUADULT","TRY","PC_25_64","A","2013",27.423178,
"GRC","EDUADULT","TRY","PC_25_64","A","2014",28.105659,
"GRC","EDUADULT","TRY","PC_25_64","A","2015",29.057495,
"GRC","EDUADULT","TRY","PC_25_64","A","2016",30.231607,
"GRC","EDUADULT","TRY","PC_25_64","A","2017",31.027514,
"GRC","EDUADULT","TRY","PC_25_64","A","2018",31.739904,
"GRC","EDUADULT","TRY","PC_25_64","A","2019",31.890486,
"GRC","EDUADULT","TRY","PC_25_64","A","2020",32.744011,
"GRC","EDUADULT","TRY","PC_25_64","A","2021",34.556225,
"GRC","EDUADULT","UPPSRY","PC_25_64","A","2010",37.991489,
"GRC","EDUADULT","UPPSRY","PC_25_64","A","2011",38.442711,
"GRC","EDUADULT","UPPSRY","PC_25_64","A","2012",39.063248,
"GRC","EDUADULT","UPPSRY","PC_25_64","A","2013",39.771641,
"GRC","EDUADULT","UPPSRY","PC_25_64","A","2014",40.160664,
"GRC","EDUADULT","UPPSRY","PC_25_64","A","2015",41.162418,
"GRC","EDUADULT","UPPSRY","PC_25_64","A","2016",41.418648,
"GRC","EDUADULT","UPPSRY","PC_25_64","A","2017",41.681881,
"GRC","EDUADULT","UPPSRY","PC_25_64","A","2018",41.629566,
"GRC","EDUADULT","UPPSRY","PC_25_64","A","2019",42.06601,
"GRC","EDUADULT","UPPSRY","PC_25_64","A","2020",43.652027,
"GRC","EDUADULT","UPPSRY","PC_25_64","A","2021",43.631008,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2010",18.707645,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2011",18.232164,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2012",17.879883,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2013",17.505869,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2014",16.905603,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2015",16.783051,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2016",16.637701,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2017",15.97375,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2018",15.138174,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2019",15.026365,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2020",14.426455,
"HUN","EDUADULT","BUPPSRY","PC_25_64","A","2021",13.719394,
"HUN","EDUADULT","TRY","PC_25_64","A","2010",20.121918,
"HUN","EDUADULT","TRY","PC_25_64","A","2011",21.124001,
"HUN","EDUADULT","TRY","PC_25_64","A","2012",22.046715,
"HUN","EDUADULT","TRY","PC_25_64","A","2013",22.505821,
"HUN","EDUADULT","TRY","PC_25_64","A","2014",23.356073,
"HUN","EDUADULT","TRY","PC_25_64","A","2015",24.242552,
"HUN","EDUADULT","TRY","PC_25_64","A","2016",23.713329,
"HUN","EDUADULT","TRY","PC_25_64","A","2017",24.054041,
"HUN","EDUADULT","TRY","PC_25_64","A","2018",25.101177,
"HUN","EDUADULT","TRY","PC_25_64","A","2019",25.981535,
